시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,속초시,조양동,,1215-1,1215,1,조양주공2,49.62,202203,8,14600,14,1998,온정로 24,,직거래,-
강원도,속초시,청학동,,642-5,642,5,청학대명,69.72,202203,7,10000,4,1990,청학로3길 6,,직거래,-
강원도,속초시,청호동,,1356,1356,0,속초청호아이파크,84.94,202203,5,48500,12,2018,청호로 22,,중개거래,강원 속초시
강원도,속초시,청호동,,1356,1356,0,속초청호아이파크,59.98,202203,7,35200,21,2018,청호로 22,,중개거래,강원 속초시
강원도,양구군,양구읍,상리,510,510,0,경림,37.755,202203,11,7200,9,1998,양록길23번길 11,,중개거래,강원 양구군
강원도,양구군,양구읍,상리,655,655,0,서희스타힐스,84.99,202203,4,24000,9,2013,청춘로 16,,직거래,-
강원도,양구군,양구읍,정림리,436,436,0,양구석미모닝파크,84.9,202203,10,17700,6,2010,박수근로313번길 17,,직거래,-
강원도,양양군,양양읍,거마리,44592,31,1,설악실크벨리,25.45,202203,6,3100,3,1998,거마천로 300,,중개거래,강원 양양군
강원도,양양군,양양읍,거마리,44592,31,1,설악실크벨리,25.45,202203,6,3300,2,1998,거마천로 300,,중개거래,강원 속초시
강원도,양양군,양양읍,서문리,419,419,0,양양코아루,73.8029,202203,1,19600,2,2016,임천1길 26-3,,중개거래,강원 양양군
강원도,양양군,양양읍,서문리,419,419,0,양양코아루,73.8029,202203,3,19500,2,2016,임천1길 26-3,,중개거래,강원 양양군
강원도,양양군,양양읍,서문리,419,419,0,양양코아루,73.8029,202203,8,22700,12,2016,임천1길 26-3,,중개거래,강원 양양군
강원도,양양군,양양읍,월리,449-1,449,1,명지푸르미,31.5408,202203,3,5500,5,2002,남대천로 99-14,,중개거래,강원 양양군
강원도,양양군,양양읍,월리,449-1,449,1,명지푸르미,31.5408,202203,3,5500,3,2002,남대천로 99-14,,중개거래,강원 양양군
강원도,양양군,양양읍,월리,449-1,449,1,명지푸르미,31.5408,202203,3,5500,9,2002,남대천로 99-14,,중개거래,강원 양양군
