시군구,,,,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도,고성군,토성면,봉포리,381,381,0,봉포스위트엠오션파크,80.4353,202202,19,24800,3,2020,광포1길 7,,중개거래,강원 속초시
강원도,고성군,토성면,봉포리,381,381,0,봉포스위트엠오션파크,80.4353,202202,21,22700,2,2020,광포1길 7,,중개거래,강원 고성군
강원도,고성군,토성면,봉포리,381,381,0,봉포스위트엠오션파크,80.4353,202202,24,25500,10,2020,광포1길 7,,중개거래,강원 고성군
강원도,고성군,토성면,청간리,217,217,0,유진클래시움,59.52,202202,1,17800,5,2006,아야진해변길 1,,중개거래,강원 고성군
강원도,고성군,토성면,청간리,217,217,0,유진클래시움,59.52,202202,8,19800,7,2006,아야진해변길 1,,중개거래,강원 속초시
강원도,고성군,토성면,청간리,217,217,0,유진클래시움,49.8,202202,12,20000,6,2006,아야진해변길 1,,중개거래,서울 마포구
강원도,동해시,구미동,,521,521,0,현진,39.97,202202,7,3400,1,1995,구미4길 1,,중개거래,강원 동해시
강원도,동해시,구미동,,521,521,0,현진,52.06,202202,10,6200,15,1995,구미4길 1,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,"대동1,2차",84.5525,202202,7,13510,3,1995,청운1길 29,,직거래,-
강원도,동해시,동회동,,442,442,0,"대동1,2차",84.5525,202202,15,14000,16,1995,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,대동3차,45,202202,10,6400,12,1996,청운1길 29,,중개거래,강원 동해시
강원도,동해시,동회동,,17899,49,1,대아주택2차,59.76,202202,26,5250,1,1991,효자남2길 9,,중개거래,강원 동해시
강원도,동해시,동회동,,451,451,0,북삼하우스디아파트,74.7297,202202,16,27300,7,2018,효자남길 33-20,,중개거래,강원 동해시
강원도,동해시,동회동,,451,451,0,북삼하우스디아파트,74.3567,202202,16,28500,18,2018,효자남길 33-20,,중개거래,강원 동해시
강원도,동해시,동회동,,451,451,0,북삼하우스디아파트,84.9625,202202,16,31300,3,2018,효자남길 33-20,,중개거래,강원 동해시
강원도,동해시,동회동,,442,442,0,현대4차,73.4675,202202,7,12500,15,1998,청운1길 29,,직거래,-
강원도,동해시,동회동,,442,442,0,현대4차,73.4675,202202,7,12000,5,1998,청운1길 29,,직거래,-
